,Entity,Year,"Indicator:Alcohol, consumers past 12 months (%) - Sex:Male","Indicator:Alcohol, consumers past 12 months (%) - Sex:Female",Population (historical estimates)
62599,Saudi Arabia,2016,7.3,3.5,33416300.0
62859,Senegal,2016,30.4,12.5,14751400.0
63118,Serbia,2016,73.8,47.0,7493290.0
63379,Seychelles,2016,68.7,40.9,100521.0
63601,Sierra Leone,2016,43.1,19.2,7493920.0
63860,Singapore,2016,81.7,58.8,5711940.0
64191,Slovakia,2016,82.9,60.0,5431200.0
64450,Slovenia,2016,19.7,7.3,2090020.0
64709,Solomon Islands,2016,1.1,0.3,628110.0
64968,Somalia,2016,43.2,19.4,14292800.0
65747,South Korea,2016,77.0,51.2,51310000.0
66229,Spain,2016,80.9,57.0,46473300.0
66488,Sri Lanka,2016,40.6,17.9,21425500.0
66747,Sudan,2016,3.4,1.1,39377200.0
67006,Suriname,2016,55.8,28.7,581462.0
67318,Sweden,2016,83.9,62.2,9953320.0
67577,Switzerland,2016,89.6,73.0,8372900.0
67836,Syria,2016,3.4,0.7,18964300.0
68354,Tajikistan,2016,29.6,11.8,8725330.0
68613,Tanzania,2016,49.3,24.0,54401800.0
68872,Thailand,2016,54.6,27.7,70607000.0
69131,Timor,2016,30.6,12.4,1224570.0
69390,Togo,2016,36.5,15.2,7661360.0
69721,Tonga,2016,20.9,7.7,105721.0
69972,Trinidad and Tobago,2016,72.5,45.6,1469330.0
70216,Tunisia,2016,8.9,1.6,11685700.0
70475,Turkey,2016,11.0,3.0,81019400.0
70734,Turkmenistan,2016,42.5,19.0,5868570.0
71100,Tuvalu,2016,21.1,7.8,10876.0
71324,Uganda,2016,49.1,23.8,38748300.0
71583,Ukraine,2016,68.7,56.1,44833600.0
71842,United Arab Emirates,2016,21.7,7.9,8994270.0
72101,United Kingdom,2016,84.3,63.0,65655200.0
72361,United States,2016,83.0,60.7,327209984.0
72992,Uruguay,2016,81.3,57.6,3413770.0
73251,Uzbekistan,2016,30.1,12.0,31453600.0
73510,Vanuatu,2016,19.9,7.4,283239.0
73981,Venezuela,2016,51.2,25.2,30741500.0
74240,Vietnam,2016,50.0,23.9,93126496.0
74949,Yemen,2016,1.1,0.3,29274000.0
75211,Zambia,2016,38.3,16.5,16767800.0
75471,Zimbabwe,2016,25.7,10.0,14452700.0
